County: Precinct,YES,NO
Hennepin: BLOOMINGTON W-1 P-07,595,717
Hennepin: BLOOMINGTON W-1 P-08,655,830
Hennepin: BLOOMINGTON W-1 P-09,618,548
Hennepin: BLOOMINGTON W-1 P-10,"1,000",862
Hennepin: BLOOMINGTON W-1 P-12,"1,023",799
Hennepin: BLOOMINGTON W-1 P-14,751,943
Hennepin: BLOOMINGTON W-1 P-15,514,665
Hennepin: BLOOMINGTON W-1 P-30,873,817
Hennepin: BLOOMINGTON W-2 P-13,872,947
Hennepin: BLOOMINGTON W-2 P-16,"1,332","1,258"
Hennepin: BLOOMINGTON W-2 P-21,744,597
Hennepin: BLOOMINGTON W-2 P-23,951,840
Hennepin: BLOOMINGTON W-2 P-24,784,889
Hennepin: BLOOMINGTON W-2 P-25,633,705
Hennepin: BLOOMINGTON W-2 P-26,800,878
Hennepin: BLOOMINGTON W-2 P-27,579,642
Hennepin: BLOOMINGTON W-3 P-05,"1,074",952
Hennepin: BLOOMINGTON W-3 P-11,612,637
Hennepin: BLOOMINGTON W-3 P-17,669,467
Hennepin: BLOOMINGTON W-3 P-18,761,585
Hennepin: BLOOMINGTON W-3 P-19,"1,154",874
Hennepin: BLOOMINGTON W-3 P-20,798,819
Hennepin: BLOOMINGTON W-3 P-22,815,869
Hennepin: BLOOMINGTON W-3 P-28,838,661
Hennepin: BLOOMINGTON W-3 P-29,645,570
Hennepin: BLOOMINGTON W-4 P-01,855,632
Hennepin: BLOOMINGTON W-4 P-02,925,709
Hennepin: BLOOMINGTON W-4 P-03,787,866
Hennepin: BLOOMINGTON W-4 P-04,793,675
Hennepin: BLOOMINGTON W-4 P-06,850,988
Hennepin: BLOOMINGTON W-4 P-31,402,372
Hennepin: BLOOMINGTON W-4 P-32,637,545
Candidate Totals:,"25,339","24,158"