Precinct,Yes,No,Cast Votes,Undervotes,Overvotes,Unresolved write-in votes,Vote By Mail Ballots Cast,Election Day Voting Ballots Cast,Early Voting Ballots Cast,Total Ballots Cast,Registered Voters,Turnout Percentage
1E-26,81,53,134,9,0,0,133,9,1,143,208,68.75%
1E-28,0,0,0,0,0,0,0,0,0,0,0,0.00%
1E-30,"1,047",820,"1,867",150,1,0,"1,896",82,45,"2,023","2,371",85.32%
1E-47,380,330,710,73,0,0,730,41,13,784,925,84.76%
3E-4J,0,0,0,0,0,0,0,0,0,0,0,0.00%
4E-11,"1,005",528,"1,533",134,0,0,"1,504",117,48,"1,669","2,327",71.72%
4E-20,"1,122",784,"1,906",166,0,0,"1,868",156,56,"2,080","2,827",73.58%
4E-32,766,521,"1,287",136,0,0,"1,219",154,51,"1,424","1,585",89.84%
4E-41,"1,237",820,"2,057",198,0,0,"2,041",154,68,"2,263","2,723",83.11%
4E-4J,0,0,0,0,0,0,0,0,0,0,0,0.00%
4E-51,"1,445",663,"2,108",186,0,0,"2,078",161,59,"2,298","2,988",76.91%
Totals,"7,083","4,519","11,602","1,052",1,0,"11,469",874,341,"12,684","15,954",79.50%