State,Year,Office,Winner Share (%),RCV Ballot Measure Year,Source,,,,,
Maine,2010,Governor,37.6,2016,Ballotpedia,,,,,
Maine,2006,Governor,38.11,2016,wikipedia,,,,,
Alaska,2010,Senator,39.7,2020,Ballotpedia,,,,,
Minnesota,2010,Governor,43.6,2020,Ballotpedia,,,,,
Alaska,2016,Senator,44.4,2020,Ballotpedia,,,,,
Massachusetts,2010,Senator,46.6,2020,Ballotpedia,,,,,
Massachusetts,2010,Governor,47.94,2020,Ballotpedia,,,,,
Alaska,2014,Senator,48,2020,Ballotpedia,,,,,
Alaska,2014,Governor,48.1,2020,Ballotpedia,,,,,
Colorado,2010,Senator,48.1,2020,Ballotpedia,,,,,
Colorado,2014,Senator,48.2,2020,Ballotpedia,,,,,
Maine,2014,Governor,48.2,2016,Ballotpedia,,,,,
Massachusetts,2014,Governor,48.4,2020,Ballotpedia,,,,,
Colorado,2014,Governor,49.3,2020,Ballotpedia,,,,,
Colorado,2016,Senator,50,2020,Ballotpedia,,,,,
Minnesota,2014,Governor,50.1,2020,Ballotpedia,,,,,
Colorado,2010,Governor,51.01,2020,Ballotpedia,,,,,
Maine,2012,Senator,51.1,2016,Ballotpedia,,,,,
Alaska,2018,Governor,51.4,2020,Ballotpedia,,,,,
California,2010,Senator,52.2,2020,wikipedia,,,,,
Minnesota,2014,Senator,53.2,2020,Ballotpedia,,,,,
Massachusetts,2012,Senator,53.3,2020,Ballotpedia,,,,,
Colorado,2018,Governor,53.4,2020,Ballotpedia,,,,,
California,2010,Governor,53.8,2020,Ballotpedia,,,,,
Minnesota,2018,Governor,53.8,2020,Ballotpedia,,,,,
California,2018,Senator,54.16,2020,wikipedia,,,,,
Massachusetts,2013,Senator,54.9,2020,Ballotpedia,,,,,
Massachusetts,2014,Senator,59,2020,Ballotpedia,,,,,
Alaska,2010,Governor,59.1,2020,Ballotpedia,,,,,
California,2014,Governor,60,2020,Ballotpedia,,,,,
Massachusetts,2018,Senator,60.3,2020,Ballotpedia,,,,,
Minnesota,2018,Senator,60.3,2020,Ballotpedia,,,,,
Maine,2008,Senator,61.33,2016,wikipedia,,,,,
California,2016,Senator,61.6,2020,Ballotpedia,,,,,
California,2018,Governor,61.9,2020,Ballotpedia,,,,,
California,2012,Senator,62.52,2020,wikipedia,,,,,
Massachusetts,2018,Governor,64.7,2020,Ballotpedia,,,,,
Minnesota,2012,Senator,65.2,2020,Ballotpedia,,,,,
Maine,2014,Senator,67,2016,Ballotpedia,,,,,
Maine,2006,Senator,74.01,2016,wikipedia,,,,,